config,seed,horizon_day,utility,gini,variance,std,completed
full,20260721,1,55458.54656343933,0.043555939329193105,1166.229949095726,34.15010906418493,5872
full,20260721,2,108515.9878260543,0.058170893073569374,4864.827695144969,69.74831679076541,11447
full,20260721,3,157321.64653217187,0.07226520895111355,14509.579763109956,120.45571702127698,16641
full,20260721,4,196706.54336030676,0.05865875351768679,19625.575114297426,140.09130991713022,20955
full,20260721,5,246375.7256396211,0.08356812491069099,48849.03308298069,221.0181736486407,26208
full,20260721,6,299104.6440528333,0.09641888449994696,87128.8901702627,295.17603251324914,31699
full,20260721,7,352374.3042086723,0.10232993221412956,127544.61718602949,357.13389251935956,37191
full,20260721,14,687726.1996789192,0.16665907215976516,1017789.8148439251,1008.8556957483687,72989
full,20260721,21,930841.3715713436,0.21355292301542006,3244909.955834501,1801.3633603008864,98756
full,20260721,28,1096965.5611142577,0.21711196682908063,5196749.913870589,2279.6381102864966,117284
full,20260721,37,1379084.2538617807,0.20146467613180508,7557723.374781814,2749.131385507396,147440
no_forecast,20260721,1,55458.54656343933,0.043555939329193105,1166.229949095726,34.15010906418493,5872
no_forecast,20260721,2,108517.42683006247,0.059230949434137425,4931.497057223663,70.22461859792236,11448
no_forecast,20260721,3,157355.50060895472,0.0722801521015497,14637.244275878307,120.9844794834375,16632
no_forecast,20260721,4,196686.74710804646,0.061839340331361736,20744.51412707082,144.0295599072316,20943
no_forecast,20260721,5,246329.03456134239,0.08749189950080782,52000.66370338665,228.0365402811283,26199
no_forecast,20260721,6,299183.4802935585,0.09719697015859463,89807.66574969121,299.6792714715037,31700
no_forecast,20260721,7,352482.4096396929,0.10300460742116657,130755.5777388447,361.6014072688942,37194
no_forecast,20260721,14,688203.4956799187,0.16421081520914527,978735.2620141723,989.3104982836138,72980
no_forecast,20260721,21,896356.6751298797,0.18923722822440014,2340809.4723541443,1529.9704155159814,93838
no_forecast,20260721,28,1014997.5752105725,0.1795772380088725,2818674.5406973176,1678.8908662260683,105689
no_forecast,20260721,37,1177021.959366755,0.1515951070465249,2830811.623759534,1682.5015969560131,120728
no_fairness,20260721,1,55496.187552500516,0.23462604462286407,13022.71054501259,114.11709137991815,5822
no_fairness,20260721,2,106836.60979325046,0.27679814377862577,66797.96347610594,258.4530198626163,11235
no_fairness,20260721,3,152435.83846814337,0.32042462513630343,179981.66350079235,424.24245839000173,16105
no_fairness,20260721,4,189488.85574120295,0.35080891495408384,335385.611038518,579.1248665344272,20164
no_fairness,20260721,5,227814.24206298077,0.3740271688208674,559079.5962945464,747.7162538654261,24156
no_fairness,20260721,6,266796.9059933188,0.38288271639598226,813426.937998934,901.9018449914237,28111
no_fairness,20260721,7,305424.3072416221,0.3981828038858308,1164173.1588298439,1078.9685624844885,31925
no_fairness,20260721,14,491394.40399170347,0.42885558775856136,3579173.5793654146,1891.8703917989242,50316
no_fairness,20260721,21,613843.3917453774,0.4389331728487067,5966115.5977160605,2442.563325221285,62240
no_fairness,20260721,28,712771.0842150233,0.4469813371188778,8435274.018024797,2904.3543203309055,72252
no_fairness,20260721,37,880414.2040575217,0.44342328501115524,13104087.253689136,3619.956802738002,88334
full,20260722,1,55462.98162820455,0.046250293536303166,1321.1239539374455,36.3472688649016,5872
full,20260722,2,108587.5988943702,0.06002011043211941,5019.181515798144,70.84618208342737,11452
full,20260722,3,157272.99107967174,0.07494408349809012,15464.995580663732,124.35833538876166,16637
full,20260722,4,196676.00108023075,0.06284255456894416,22474.074272099926,149.9135559984484,20951
full,20260722,5,246339.57681237697,0.09103153646906414,56993.213514998,238.73251457436209,26199
full,20260722,6,299091.6532278052,0.10506370580493019,101828.19997101645,319.10531172485435,31692
full,20260722,7,352356.28728734015,0.11126908619251075,150388.44599421404,387.79949199839604,37180
full,20260722,14,682670.1582726152,0.18253437482358015,1189466.660771063,1090.6267284323555,72419
full,20260722,21,932743.7058203048,0.22295168471546467,3623501.0268933917,1903.549586139902,99056
full,20260722,28,1115182.1095098425,0.23634221574204184,6396734.785755953,2529.176701172924,119707
full,20260722,37,1397975.0380640472,0.22486523257754576,10388241.815025887,3223.079554560496,150497
no_forecast,20260722,1,55462.98162820455,0.046250293536303166,1321.1239539374455,36.3472688649016,5872
no_forecast,20260722,2,108587.5988943702,0.06002011043211941,5019.181515798144,70.84618208342737,11452
no_forecast,20260722,3,157291.7883485819,0.07480070107650705,15458.766710128599,124.3332888253528,16632
no_forecast,20260722,4,196694.7965343366,0.06285351370952941,22257.53210545592,149.1895844402548,20946
no_forecast,20260722,5,246459.64297397772,0.0905499866385131,55803.880911078544,236.22845068085797,26199
no_forecast,20260722,6,299229.6892505428,0.10301890115762613,96582.99691372988,310.77805088797675,31694
no_forecast,20260722,7,352531.83843043866,0.10882278978734661,143165.76588611296,378.37252263624134,37192
no_forecast,20260722,14,686369.8534248894,0.1676974817871546,1018776.4587082516,1009.3445688704386,72720
no_forecast,20260722,21,876958.3538500655,0.18995069739492965,2361963.214728129,1536.86798871215,91503
no_forecast,20260722,28,979453.0854969836,0.1733369037321042,2414836.8958114334,1553.9745479934456,101455
no_forecast,20260722,37,1145834.8920284638,0.15078829425692652,2601816.737919181,1613.014797799196,117043
no_fairness,20260722,1,55301.737468480496,0.24702207686850897,14537.077889103593,120.56980504713273,5803
no_fairness,20260722,2,106569.0777939996,0.28947805047799124,72739.48317371689,269.7025828087616,11218
no_fairness,20260722,3,152003.5722028339,0.325413151635936,184966.57639536433,430.07740744587403,16057
no_fairness,20260722,4,188865.3003476486,0.35675817936242193,346388.94880833593,588.5481703381091,20095
no_fairness,20260722,5,227221.47855251312,0.3761218927197987,562448.1404271076,749.9654261545045,24118
no_fairness,20260722,6,266445.49151255365,0.3838347843435743,811375.0610871721,900.7635988910587,28095
no_fairness,20260722,7,306206.38238001434,0.39014219109408943,1107051.1866031666,1052.164999704498,32046
no_fairness,20260722,14,498229.2482918055,0.43175363330304206,3751774.146098667,1936.9497014890878,51209
no_fairness,20260722,21,625221.7052898032,0.4450168122250704,6457198.193011349,2541.101767543234,63610
no_fairness,20260722,28,720608.4363662243,0.4449286669045913,8705491.416001895,2950.506976097819,73307
no_fairness,20260722,37,878311.4110774705,0.4476294908277676,13121197.190760916,3622.3193109885988,88398
full,20260723,1,55449.23822612395,0.04303928860684869,1125.3924390044067,33.54686928767581,5872
full,20260723,2,108555.33443471207,0.058269706350168926,4603.176116497397,67.84671043239604,11450
full,20260723,3,157385.86873954374,0.07483301081787608,14835.095847740246,121.79940824051751,16655
full,20260723,4,196769.17163953924,0.058729855921900276,20173.843106339802,142.03465459647447,20969
full,20260723,5,246494.97947042747,0.08375221826006496,50194.270266484695,224.04077813309945,26225
full,20260723,6,299247.3668151294,0.09817939235654105,91627.75386980247,302.7007662193845,31713
full,20260723,7,352607.0436114854,0.10642605383542603,140525.9603175577,374.8679238312578,37213
full,20260723,14,683476.89346678,0.17732635633731064,1129680.5082725044,1062.8642943821683,72470
full,20260723,21,915005.7760070085,0.2150011057069876,3308234.6737234695,1818.8553196237103,96998
full,20260723,28,1079467.2347082836,0.2267228220977886,5679118.808530661,2383.090180528354,115591
full,20260723,37,1368365.455707642,0.21732968409792375,8553193.207586879,2924.584279446718,146606
no_forecast,20260723,1,55449.23822612395,0.04303928860684869,1125.3924390044067,33.54686928767581,5872
no_forecast,20260723,2,108555.33443471207,0.058269706350168926,4603.176116497397,67.84671043239604,11450
