pass,alpha,elapsed_s,zones,mean_abs_delta_q
1,0.1,237.30349489999935,67,nan
2,0.0905463412215599,221.624636499997,67,0.13463942708989698
3,0.0657963412215599,212.97830239999894,67,0.20012605498141062
4,0.03520365877844011,214.59720550000202,67,0.29388882256601323
5,0.010453658778440109,215.38811150000402,67,0.3021987846247262
