ablation,seed,utility,gini,variance,std,std_over_mean
full,20260721,1433469.52301574,0.21098637571849777,9081153.7277319,3013.495267580804,0.4204477624666897
full,20260722,1412303.787614009,0.20358463207387212,7940885.121892613,2817.957615347082,0.3990582819448256
full,20260723,1426825.976813615,0.20149538259873978,8812076.498449901,2968.5141903736794,0.4161003848560368
full,20260724,1416164.3365604978,0.19539651087930987,7472694.6332489755,2733.622986669701,0.38606013668003736
full,20260725,1423441.979416187,0.20721829938816327,8421449.411461283,2901.9733650502862,0.40774030933673977
no_forecast,20260721,1152706.8527391138,0.15051687611645814,2569612.0003792373,1603.0009358634939,0.2781281176657137
no_forecast,20260722,1149234.3323679753,0.13758225518053946,2127893.975745719,1458.7302614759587,0.2538612396777728
no_forecast,20260723,1162346.65788124,0.16065187555213867,3031671.8989219423,1741.1696927416185,0.29959559498634847
no_forecast,20260724,1186955.5904181164,0.13376207899796322,2224587.5608192976,1491.5051326828539,0.25131608035267045
no_forecast,20260725,1159142.155684126,0.14632617576328388,2413725.332597294,1553.6168551471415,0.26806321339080214
no_fairness,20260721,898370.2493345842,0.4445175244076589,13685842.392380811,3699.438118468913,0.8235887422160425
no_fairness,20260722,895354.4820957973,0.446635475092912,13558174.473365955,3682.1426470692245,0.8224994056991292
no_fairness,20260723,931963.9454619588,0.4628411947739326,17014347.650416292,4124.845166841574,0.8851941508953884
no_fairness,20260724,904778.7803640835,0.4420011509789745,13876320.536438517,3725.0933594258436,0.8234263314457627
no_fairness,20260725,859659.0562174434,0.4558833484890483,13038110.36635154,3610.832364753526,0.8400614961567267
